subway_line_used_most_often,use_of_subway_frequency,average_length_subway_ride,overall_satisfaction,frequency_of_delays,approximate_delay_duration,alternative_transport,frequency_of_rerouting,most_common_reason_for_delay,is_subway_affordable,opinion_on_increased_fares,submitted_at,collection_method,complaint_1,complaint_2,complaint_3
1,~5 days per week,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,For-hire vehicle,Only on weekends,No reason is given,True,Positive,01/09/2019 @ 11:21 AM,online,Customer service,Station infrastructure,Overcrowded trains
A,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,Only on weekends,Train traffic,False,Positive,01/09/2019 @ 11:21 AM,online,Delays,High fares,Overcrowded trains
3,Everyday / Almost everyday,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,Train traffic,True,Positive,01/09/2019 @ 11:22 AM,online,Delays,Frequent route changes,Old trains
2,~5 days per week,20 - 40 min,Neutral,,5 - 10 min,Take a bus,Only on weekends,Train traffic,True,Positive,01/09/2019 @ 11:22 AM,online,Crime / Safety,Station infrastructure,Overcrowded trains
1,Everyday / Almost everyday,< 20 min,Not satisfied,Rarely,5 - 10 min,Use another train,Only on weekends,Train traffic,True,Other / No thoughts,01/09/2019 @ 11:22 AM,online,Delays,Old trains,Overcrowded trains
A,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,Police incident,False,Neutral,01/09/2019 @ 11:22 AM,online,Customer service,Station infrastructure,Lack of handicap access
1,~5 days per week,20 - 40 min,Highly unsatisfied,A few times a week,10 - 20 min,Wait for next train,All the time,No reason is given,False,Positive,01/09/2019 @ 11:22 AM,online,Delays,High fares,Overcrowded trains
1,Everyday / Almost everyday,< 20 min,,A few times a week,5 - 10 min,Use another train,Only at night,Waiting for signal change,True,Positive,01/09/2019 @ 11:23 AM,online,Delays,Station infrastructure,Overcrowded trains
A,"More than once a week, varies",40 - 60 min,Somewhat satisfied,Rarely,20 - 45 min,Wait for next train,Almost never,Train traffic,False,Negative,01/09/2019 @ 11:23 AM,online,Delays,Station infrastructure,Lack of handicap access
C,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,For-hire vehicle,All the time,Signal malfunction,False,Positive,01/09/2019 @ 11:24 AM,online,Frequent route changes,High fares,Customer service
2,"More than once a week, varies",20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,No reason is given,True,Positive,01/09/2019 @ 11:24 AM,online,Delays,Frequent route changes,Customer service
2,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,Rarely,5 - 10 min,Walk,,Train traffic,True,Positive,01/09/2019 @ 11:24 AM,online,High fares,Customer service,Overcrowded trains
1,,20 - 40 min,Highly unsatisfied,A few times a week,5 - 10 min,Use another train,,Train traffic,True,Positive,01/09/2019 @ 11:25 AM,online,Delays,Station infrastructure,Overcrowded trains
2,"Weekdays, Mon - Fri",20 - 40 min,Neutral,A few times a week,20 - 45 min,Wait for next train,All the time,Train traffic,True,Positive,01/09/2019 @ 11:25 AM,online,Delays,Crime / Safety,Overcrowded trains
R,"Weekdays, Mon - Fri",40 - 60 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Almost never,Train traffic,True,Positive,01/09/2019 @ 11:25 AM,online,Delays,Frequent route changes,Lack of handicap access
N,"Weekdays, Mon - Fri",< 20 min,Somewhat satisfied,Rarely,,Walk,Almost never,No reason is given,True,Unaware,01/09/2019 @ 11:25 AM,online,,,
F,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,Everyday,20 - 45 min,Use another train,All the time,Train traffic,False,Positive,01/09/2019 @ 11:25 AM,online,Delays,High fares,Customer service
N,Once a week,40 - 60 min,Very satisfied,Never,,Wait for next train,Only on weekends,Sick passenger,True,,01/09/2019 @ 11:25 AM,online,Overcrowded trains,,
A,Everyday / Almost everyday,20 - 40 min,Neutral,A few times a week,5 - 10 min,Wait for next train,Only at night,Train traffic,True,Negative,01/09/2019 @ 11:26 AM,online,Delays,High fares,Overcrowded trains
A,Everyday / Almost everyday,20 - 40 min,Neutral,A few times a week,5 - 10 min,For-hire vehicle,Only at night,Train traffic,True,Neutral,01/09/2019 @ 11:26 AM,online,Delays,Frequent route changes,Old trains
2,Everyday / Almost everyday,< 20 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,Train traffic,False,Neutral,01/09/2019 @ 11:26 AM,online,Delays,Frequent route changes,Overcrowded trains
1,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,Rarely,5 - 10 min,Use another train,Almost never,Train traffic,True,Unaware,01/09/2019 @ 11:27 AM,online,,,
2,"More than once a week, varies",< 20 min,,,5 - 10 min,Walk,Only on weekends,No reason is given,True,Positive,01/09/2019 @ 11:27 AM,online,Delays,Station infrastructure,Overcrowded trains
2,Everyday / Almost everyday,40 - 60 min,Neutral,A few times a week,5 - 10 min,Use another train,Only on weekends,Train traffic,True,Negative,01/09/2019 @ 11:28 AM,online,Delays,Frequent route changes,Overcrowded trains
F,Everyday / Almost everyday,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,No reason is given,True,Neutral,01/09/2019 @ 11:28 AM,online,Delays,Frequent route changes,Overcrowded trains
F,Everyday / Almost everyday,60 - 90 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,Signal malfunction,True,Positive,01/09/2019 @ 11:28 AM,online,Crime / Safety,Overcrowded trains,Lack of handicap access
F,"More than once a week, varies",< 20 min,Somewhat satisfied,Rarely,5 - 10 min,Use another train,Only on weekends,Train traffic,True,Positive,01/09/2019 @ 11:28 AM,online,Delays,Frequent route changes,Station infrastructure
1,Everyday / Almost everyday,20 - 40 min,Highly unsatisfied,A few times a week,20 - 45 min,Use another train,All the time,No reason is given,False,Positive,01/09/2019 @ 11:29 AM,online,Crime / Safety,Customer service,Lack of handicap access
M,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,Train traffic,True,Neutral,01/09/2019 @ 11:29 AM,online,Delays,Customer service,Overcrowded trains
1,Everyday / Almost everyday,20 - 40 min,Highly unsatisfied,A few times a week,10 - 20 min,Wait for next train,Only at night,Waiting for signal change,False,Positive,01/09/2019 @ 11:30 AM,online,High fares,Crime / Safety,Station infrastructure
N,Once a week,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Only at night,Train traffic,False,Positive,01/09/2019 @ 11:31 AM,online,Delays,High fares,Lack of handicap access
A,Everyday / Almost everyday,40 - 60 min,Very satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,Train traffic,True,Neutral,01/09/2019 @ 11:31 AM,online,Delays,Customer service,Station infrastructure
D,Everyday / Almost everyday,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,Train traffic,True,Positive,01/09/2019 @ 11:32 AM,online,Frequent route changes,Customer service,Overcrowded trains
6,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,Everyday,20 - 45 min,Use another train,All the time,No reason is given,False,Positive,01/09/2019 @ 11:32 AM,online,Crime / Safety,Customer service,Lack of handicap access
C,"More than once a week, varies",< 20 min,Neutral,A few times a week,5 - 10 min,For-hire vehicle,Only on weekends,Train traffic,False,Neutral,01/09/2019 @ 11:33 AM,online,Delays,Crime / Safety,Overcrowded trains
F,Everyday / Almost everyday,20 - 40 min,Neutral,A few times a week,10 - 20 min,Wait for next train,Only on weekends,Train traffic,False,Positive,01/09/2019 @ 11:33 AM,online,Delays,Frequent route changes,High fares
1,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,Use another train,Only at night,Signal malfunction,True,Positive,01/09/2019 @ 11:34 AM,online,Delays,High fares,Overcrowded trains
A,Everyday / Almost everyday,< 20 min,Highly unsatisfied,Everyday,45 - 60 min,Wait for next train,Only on weekends,Train traffic,False,Negative,01/09/2019 @ 11:34 AM,online,Delays,Frequent route changes,Overcrowded trains
A,Everyday / Almost everyday,< 20 min,Somewhat satisfied,A few times a week,5 - 10 min,Take a bus,Only at night,Train traffic,False,Other / No thoughts,01/09/2019 @ 11:34 AM,online,High fares,Station infrastructure,Overcrowded trains
1,"More than once a week, varies",90 min - 2 hours,Highly unsatisfied,Everyday,> 60 min,Wait for next train,All the time,Train traffic,False,Positive,01/09/2019 @ 11:34 AM,online,High fares,Crime / Safety,Overcrowded trains
2,~5 days per week,20 - 40 min,Somewhat satisfied,Rarely,10 - 20 min,Wait for next train,Only on weekends,Waiting for signal change,False,Other / No thoughts,01/09/2019 @ 11:35 AM,online,Frequent route changes,Station infrastructure,Overcrowded trains
1,Everyday / Almost everyday,20 - 40 min,Very satisfied,Almost never,5 - 10 min,Use another train,Almost never,Train traffic,True,Other / No thoughts,01/09/2019 @ 11:35 AM,online,High fares,Lack of handicap access,
2,Everyday / Almost everyday,40 - 60 min,Somewhat satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,Signal malfunction,True,Positive,01/09/2019 @ 11:35 AM,online,Delays,Frequent route changes,High fares
1,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,All the time,Train traffic,False,Negative,01/09/2019 @ 11:36 AM,online,Delays,Station infrastructure,Overcrowded trains
N,Everyday / Almost everyday,20 - 40 min,Neutral,Rarely,10 - 20 min,Use another train,Only on weekends,Train traffic,False,Positive,01/09/2019 @ 11:36 AM,online,Frequent route changes,High fares,Overcrowded trains
1,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,A few times a week,10 - 20 min,Use another train,All the time,Train traffic,False,Negative,01/09/2019 @ 11:38 AM,online,Delays,High fares,Overcrowded trains
A,Everyday / Almost everyday,60 - 90 min,,Everyday,20 - 45 min,Use another train,All the time,Train traffic,False,Negative,01/09/2019 @ 11:38 AM,online,Delays,High fares,Overcrowded trains
2,"Weekdays, Mon - Fri",60 - 90 min,Somewhat satisfied,Everyday,10 - 20 min,Wait for next train,Only at night,Train traffic,True,Positive,01/09/2019 @ 11:38 AM,online,Delays,High fares,Customer service
D,~5 days per week,20 - 40 min,Neutral,A few times a week,5 - 10 min,Use another train,Only on weekends,No reason is given,True,Negative,01/09/2019 @ 11:38 AM,online,Customer service,Overcrowded trains,Lack of handicap access
1,Once a week,20 - 40 min,Somewhat satisfied,Almost never,,Wait for next train,Almost never,Train traffic,True,Neutral,01/09/2019 @ 11:39 AM,online,Lack of handicap access,,
1,"More than once a week, varies",< 20 min,Not satisfied,A few times a week,10 - 20 min,For-hire vehicle,Only on weekends,Signal malfunction,True,Neutral,01/09/2019 @ 11:39 AM,online,Frequent route changes,Crime / Safety,Customer service
J,Everyday / Almost everyday,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,Train traffic,False,Negative,01/09/2019 @ 11:39 AM,online,High fares,Station infrastructure,Overcrowded trains
1,Everyday / Almost everyday,90 min - 2 hours,Highly unsatisfied,Everyday,20 - 45 min,For-hire vehicle,All the time,Signal malfunction,False,Negative,01/09/2019 @ 11:39 AM,online,Delays,Customer service,
2,~5 days per week,< 20 min,Neutral,A few times a week,5 - 10 min,Wait for next train,All the time,Train traffic,False,Unaware,01/09/2019 @ 11:39 AM,online,Frequent route changes,High fares,
A,"Weekdays, Mon - Fri",20 - 40 min,Not satisfied,A few times a week,10 - 20 min,For-hire vehicle,Only on weekends,Waiting for signal change,False,Positive,01/09/2019 @ 11:40 AM,online,Delays,High fares,Overcrowded trains
B,Everyday / Almost everyday,< 20 min,Somewhat satisfied,A few times a week,5 - 10 min,For-hire vehicle,Only on weekends,Train traffic,False,Positive,01/09/2019 @ 11:40 AM,online,Delays,High fares,Lack of handicap access
2,"Weekdays, Mon - Fri",< 20 min,Highly unsatisfied,A few times a week,20 - 45 min,Take a bus,Almost never,No reason is given,False,Positive,01/09/2019 @ 11:40 AM,online,Delays,Customer service,Overcrowded trains
F,~5 days per week,20 - 40 min,Not satisfied,Everyday,10 - 20 min,For-hire vehicle,Only on weekends,Signal malfunction,False,Positive,01/09/2019 @ 11:41 AM,online,High fares,Customer service,Overcrowded trains
3,~5 days per week,20 - 40 min,Neutral,A few times a week,5 - 10 min,Use another train,All the time,No reason is given,True,Positive,01/09/2019 @ 11:41 AM,online,Delays,Station infrastructure,Lack of handicap access
A,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,Use another train,All the time,Train traffic,False,Positive,01/09/2019 @ 11:42 AM,online,Delays,Customer service,Lack of handicap access
A,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,Signal malfunction,True,Negative,01/09/2019 @ 11:42 AM,online,Frequent route changes,High fares,Crime / Safety
1,Everyday / Almost everyday,< 20 min,Very satisfied,Almost never,5 - 10 min,For-hire vehicle,Almost never,Train traffic,True,Neutral,01/09/2019 @ 11:42 AM,online,Lack of handicap access,,
6,"More than once a week, varies",60 - 90 min,Not satisfied,A few times a week,20 - 45 min,Use another train,All the time,Signal malfunction,True,Unaware,01/09/2019 @ 11:42 AM,online,Frequent route changes,Crime / Safety,Overcrowded trains
6,Everyday / Almost everyday,20 - 40 min,Neutral,A few times a week,5 - 10 min,Use another train,Only on weekends,Train traffic,False,Positive,01/09/2019 @ 11:42 AM,online,Delays,Frequent route changes,Customer service
2,Everyday / Almost everyday,60 - 90 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only at night,Train traffic,True,Positive,01/09/2019 @ 11:43 AM,online,Delays,Station infrastructure,Old trains
R,~5 days per week,< 20 min,Neutral,A few times a week,10 - 20 min,Use another train,Only at night,Train traffic,False,Negative,01/09/2019 @ 11:43 AM,online,Delays,Frequent route changes,Customer service
Q,"More than once a week, varies",20 - 40 min,Neutral,Almost never,5 - 10 min,Use another train,Only at night,Waiting for signal change,False,Other / No thoughts,01/09/2019 @ 11:44 AM,online,Station infrastructure,Overcrowded trains,Lack of handicap access
L,"Weekdays, Mon - Fri",,Neutral,A few times a week,10 - 20 min,Use another train,,Signal malfunction,True,Positive,01/09/2019 @ 11:44 AM,online,Delays,Frequent route changes,Overcrowded trains
1,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,A few times a week,,Walk,,Waiting for signal change,False,Positive,01/09/2019 @ 11:45 AM,online,Delays,,
1,"More than once a week, varies",20 - 40 min,Somewhat satisfied,Rarely,10 - 20 min,Wait for next train,Only on weekends,,False,Negative,01/09/2019 @ 11:45 AM,online,High fares,Station infrastructure,Lack of handicap access
6,Everyday / Almost everyday,40 - 60 min,Neutral,A few times a week,5 - 10 min,Wait for next train,Only on weekends,Waiting for signal change,True,Positive,01/09/2019 @ 11:46 AM,online,Delays,Station infrastructure,Overcrowded trains
J,Everyday / Almost everyday,40 - 60 min,Not satisfied,Everyday,10 - 20 min,Use another train,Only on weekends,Signal malfunction,True,Other / No thoughts,01/09/2019 @ 11:46 AM,online,Delays,Overcrowded trains,Lack of handicap access
E,~5 days per week,< 20 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,Train traffic,False,Positive,01/09/2019 @ 11:46 AM,online,Frequent route changes,High fares,Lack of handicap access
2,Everyday / Almost everyday,< 20 min,Neutral,Rarely,5 - 10 min,Wait for next train,Only on weekends,Train traffic,True,Unaware,01/09/2019 @ 11:46 AM,online,Overcrowded trains,,
C,"Weekdays, Mon - Fri",< 20 min,Somewhat satisfied,A few times a week,10 - 20 min,Wait for next train,Almost never,Train traffic,True,Positive,01/09/2019 @ 11:46 AM,online,Crime / Safety,Old trains,Overcrowded trains
A,Everyday / Almost everyday,40 - 60 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,Train traffic,True,Positive,01/09/2019 @ 11:46 AM,online,Delays,Frequent route changes,Overcrowded trains
1,"More than once a week, varies",20 - 40 min,Neutral,A few times a week,10 - 20 min,Use another train,Only on weekends,No reason is given,False,Positive,01/09/2019 @ 11:47 AM,online,Delays,High fares,Customer service
1,"More than once a week, varies",< 20 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,Sick passenger,True,Negative,01/09/2019 @ 11:47 AM,online,Delays,Frequent route changes,Station infrastructure
A,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,Train traffic,True,Positive,01/09/2019 @ 11:47 AM,online,Crime / Safety,Old trains,Overcrowded trains
2,Everyday / Almost everyday,20 - 40 min,Neutral,Rarely,10 - 20 min,Use another train,All the time,Signal malfunction,False,Negative,01/09/2019 @ 11:47 AM,online,Frequent route changes,Station infrastructure,Overcrowded trains
A,Everyday / Almost everyday,< 20 min,Neutral,A few times a week,10 - 20 min,Use another train,Only on weekends,Train traffic,False,Unaware,01/09/2019 @ 11:48 AM,online,Delays,High fares,Overcrowded trains
4,"More than once a week, varies",20 - 40 min,Not satisfied,Everyday,5 - 10 min,Walk,Only on weekends,Train traffic,True,Positive,01/09/2019 @ 11:48 AM,online,Delays,Frequent route changes,Lack of handicap access
2,Everyday / Almost everyday,60 - 90 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,Train traffic,True,Positive,01/09/2019 @ 11:49 AM,online,Delays,Frequent route changes,Customer service
Q,~5 days per week,20 - 40 min,Not satisfied,Everyday,10 - 20 min,Use another train,Only on weekends,Train traffic,True,Neutral,01/09/2019 @ 11:49 AM,online,Delays,Station infrastructure,Overcrowded trains
1,"More than once a week, varies",20 - 40 min,Highly unsatisfied,Everyday,5 - 10 min,For-hire vehicle,All the time,Signal malfunction,True,Positive,01/09/2019 @ 11:50 AM,online,Delays,Frequent route changes,High fares
C,"More than once a week, varies",20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only at night,No reason is given,True,Positive,01/09/2019 @ 11:50 AM,online,Delays,Station infrastructure,Overcrowded trains
6,Everyday / Almost everyday,20 - 40 min,Highly unsatisfied,A few times a week,5 - 10 min,For-hire vehicle,Only on weekends,Waiting for signal change,True,Positive,01/09/2019 @ 11:50 AM,online,Delays,Station infrastructure,Overcrowded trains
D,Once a month,< 20 min,Highly unsatisfied,Everyday,10 - 20 min,Bike,All the time,Train traffic,True,Unaware,01/09/2019 @ 11:50 AM,online,Delays,Frequent route changes,Overcrowded trains
1,Everyday / Almost everyday,90 min - 2 hours,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,Only on weekends,Train traffic,False,Positive,01/09/2019 @ 11:50 AM,online,Delays,Station infrastructure,Overcrowded trains
F,"Weekdays, Mon - Fri",60 - 90 min,Not satisfied,Everyday,5 - 10 min,Wait for next train,All the time,Signal malfunction,True,Positive,01/09/2019 @ 11:50 AM,online,Delays,High fares,Overcrowded trains
A,Once a month,20 - 40 min,Neutral,Rarely,5 - 10 min,Wait for next train,Almost never,Signal malfunction,True,Positive,01/09/2019 @ 11:51 AM,online,Delays,Old trains,Lack of handicap access
1,"More than once a week, varies",20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,Waiting for signal change,False,Positive,01/09/2019 @ 11:51 AM,online,Delays,Crime / Safety,Overcrowded trains
Q,Everyday / Almost everyday,60 - 90 min,Not satisfied,Everyday,10 - 20 min,Wait for next train,All the time,Signal malfunction,True,Other / No thoughts,01/09/2019 @ 11:51 AM,online,Delays,Station infrastructure,Lack of handicap access
1,"Weekdays, Mon - Fri",20 - 40 min,Neutral,A few times a week,10 - 20 min,Use another train,Almost never,Train traffic,True,Positive,01/09/2019 @ 11:51 AM,online,Delays,Customer service,Overcrowded trains
1,"More than once a week, varies",20 - 40 min,Not satisfied,Everyday,5 - 10 min,Use another train,All the time,No reason is given,True,Positive,01/09/2019 @ 11:51 AM,online,Frequent route changes,Customer service,Overcrowded trains
Q,~5 days per week,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Only at night,Train traffic,True,Neutral,01/09/2019 @ 11:52 AM,online,Delays,Frequent route changes,Customer service
W,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,Only at night,Train traffic,False,Negative,01/09/2019 @ 11:52 AM,online,Delays,Frequent route changes,High fares
1,"More than once a week, varies",20 - 40 min,Very satisfied,Rarely,10 - 20 min,Use another train,Only on weekends,No reason is given,True,Neutral,01/09/2019 @ 11:53 AM,online,Frequent route changes,Station infrastructure,
6,Everyday / Almost everyday,40 - 60 min,Neutral,A few times a week,5 - 10 min,Walk,All the time,Train traffic,True,Negative,01/09/2019 @ 11:53 AM,online,Delays,,
1,"Weekdays, Mon - Fri",40 - 60 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Almost never,Train traffic,False,Positive,01/09/2019 @ 11:53 AM,online,High fares,Crime / Safety,Overcrowded trains
3,Everyday / Almost everyday,< 20 min,Not satisfied,Rarely,5 - 10 min,Bike,Almost never,No reason is given,True,Other / No thoughts,01/09/2019 @ 11:53 AM,online,Delays,Station infrastructure,Overcrowded trains
6,Everyday / Almost everyday,< 20 min,Not satisfied,A few times a week,10 - 20 min,Walk,Only on weekends,Signal malfunction,False,Positive,01/09/2019 @ 11:54 AM,online,Delays,High fares,Overcrowded trains
6,Everyday / Almost everyday,40 - 60 min,Somewhat satisfied,Rarely,10 - 20 min,Use another train,Only on weekends,Train traffic,True,Positive,01/09/2019 @ 11:54 AM,online,Crime / Safety,Station infrastructure,Overcrowded trains
1,Everyday / Almost everyday,20 - 40 min,Neutral,A few times a week,10 - 20 min,Use another train,All the time,Train traffic,True,Other / No thoughts,01/09/2019 @ 11:55 AM,online,Delays,Frequent route changes,Overcrowded trains
2,"Weekdays, Mon - Fri",20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,Sick passenger,False,Positive,01/09/2019 @ 11:55 AM,online,Delays,Frequent route changes,High fares
N,Everyday / Almost everyday,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,Signal malfunction,True,Positive,01/09/2019 @ 11:55 AM,online,Delays,Station infrastructure,Old trains
6,"More than once a week, varies",< 20 min,Somewhat satisfied,Rarely,5 - 10 min,Wait for next train,Only on weekends,Train traffic,False,Other / No thoughts,01/09/2019 @ 11:56 AM,online,Frequent route changes,Station infrastructure,Overcrowded trains
C,Everyday / Almost everyday,60 - 90 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,All the time,Train traffic,False,Neutral,01/09/2019 @ 11:56 AM,online,Delays,Overcrowded trains,Lack of handicap access
A,"More than once a week, varies",40 - 60 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,All the time,Train traffic,True,Positive,01/09/2019 @ 11:57 AM,online,Delays,Frequent route changes,Overcrowded trains
F,Everyday / Almost everyday,40 - 60 min,Not satisfied,Everyday,10 - 20 min,Use another train,Only on weekends,Train traffic,False,Positive,01/09/2019 @ 11:57 AM,online,Delays,High fares,Lack of handicap access
6,"More than once a week, varies",20 - 40 min,Very satisfied,Rarely,5 - 10 min,Wait for next train,Almost never,Train traffic,True,Positive,01/09/2019 @ 11:58 AM,online,High fares,Crime / Safety,Lack of handicap access
C,"Weekdays, Mon - Fri",20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Take a bus,Only on weekends,Train traffic,False,Negative,01/09/2019 @ 11:58 AM,online,Delays,Customer service,Old trains
2,Everyday / Almost everyday,40 - 60 min,Neutral,A few times a week,5 - 10 min,For-hire vehicle,Only on weekends,Train traffic,False,Negative,01/09/2019 @ 11:58 AM,online,Delays,Frequent route changes,High fares
F,"Weekdays, Mon - Fri",60 - 90 min,Not satisfied,A few times a week,10 - 20 min,For-hire vehicle,,Signal malfunction,True,Neutral,01/09/2019 @ 11:58 AM,online,Delays,,
F,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Use another train,All the time,Train traffic,True,Positive,01/09/2019 @ 12:00 PM,online,Delays,Customer service,Overcrowded trains
A,"More than once a week, varies",40 - 60 min,Highly unsatisfied,A few times a week,10 - 20 min,Wait for next train,Almost never,Waiting for signal change,False,Negative,01/09/2019 @ 12:00 PM,online,Frequent route changes,High fares,Overcrowded trains
R,"Weekdays, Mon - Fri",20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,All the time,Train traffic,True,Positive,01/09/2019 @ 12:00 PM,online,Delays,Station infrastructure,Overcrowded trains
4,~5 days per week,< 20 min,Highly unsatisfied,A few times a week,5 - 10 min,Walk,Only on weekends,Train traffic,False,Positive,01/09/2019 @ 12:01 PM,online,Frequent route changes,High fares,Station infrastructure
D,Everyday / Almost everyday,20 - 40 min,Highly unsatisfied,Everyday,> 60 min,Use another train,All the time,No reason is given,False,Positive,01/09/2019 @ 12:03 PM,online,Delays,Crime / Safety,Overcrowded trains
1,Everyday / Almost everyday,60 - 90 min,Highly unsatisfied,Everyday,20 - 45 min,Wait for next train,All the time,Sick passenger,False,Positive,01/09/2019 @ 12:04 PM,online,Delays,Crime / Safety,Customer service
1,"More than once a week, varies",60 - 90 min,Very satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,Train traffic,False,Unaware,01/09/2019 @ 12:05 PM,online,Frequent route changes,Station infrastructure,Overcrowded trains
A,"More than once a week, varies",20 - 40 min,Highly unsatisfied,A few times a week,10 - 20 min,Use another train,Only at night,No reason is given,True,Positive,01/09/2019 @ 12:05 PM,online,Delays,Frequent route changes,Crime / Safety
1,~5 days per week,< 20 min,Not satisfied,A few times a week,10 - 20 min,Take a bus,All the time,Train traffic,False,Positive,01/09/2019 @ 12:06 PM,online,Delays,Overcrowded trains,Lack of handicap access
E,"Weekdays, Mon - Fri",< 20 min,Somewhat satisfied,Rarely,5 - 10 min,Wait for next train,Only on weekends,Train traffic,True,Neutral,01/09/2019 @ 12:06 PM,online,Customer service,Station infrastructure,Lack of handicap access
F,Everyday / Almost everyday,< 20 min,Somewhat satisfied,Rarely,10 - 20 min,Take a bus,Almost never,No reason is given,False,Negative,01/09/2019 @ 12:06 PM,online,High fares,Crime / Safety,Station infrastructure
R,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,Train traffic,False,Negative,01/09/2019 @ 12:07 PM,online,High fares,Crime / Safety,Lack of handicap access
1,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Walk,Only on weekends,Train traffic,True,Unaware,01/09/2019 @ 12:08 PM,online,Frequent route changes,Station infrastructure,Overcrowded trains
5,"More than once a week, varies",40 - 60 min,Not satisfied,Everyday,5 - 10 min,Wait for next train,Only on weekends,Train traffic,True,Negative,01/09/2019 @ 12:09 PM,online,Delays,Customer service,Overcrowded trains
1,Everyday / Almost everyday,60 - 90 min,Not satisfied,Everyday,10 - 20 min,Use another train,Only on weekends,Sick passenger,True,Positive,01/09/2019 @ 12:09 PM,online,High fares,Crime / Safety,Overcrowded trains
L,Everyday / Almost everyday,40 - 60 min,Somewhat satisfied,Rarely,10 - 20 min,Wait for next train,Only on weekends,No reason is given,False,Negative,01/09/2019 @ 12:09 PM,online,High fares,Overcrowded trains,Lack of handicap access
1,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,Use another train,All the time,Train traffic,True,Positive,01/09/2019 @ 12:10 PM,online,Delays,Crime / Safety,Overcrowded trains
G,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,Rarely,10 - 20 min,Use another train,Only on weekends,Sick passenger,False,Positive,01/09/2019 @ 12:10 PM,online,Station infrastructure,Overcrowded trains,Lack of handicap access
